X,Y,H,E,S2P,phase_angle,HE
71230.234,27212.545,8.3938875,67.5495,729.8603,-0.4438596,0.124262765
71230.234,27213.068,8.375989,82.69727,1061.6155,-0.3154661,0.10128495
71230.234,27213.545,7.68563,71.39895,881.99207,-0.2897448,0.10764346
71230.234,27214.068,9.355222,76.46845,824.17084,-0.48777455,0.12234093
71230.234,27214.545,7.471062,60.792736,673.39075,-0.5478703,0.122894
71230.234,27215.068,1.3858013,15.390433,266.14896,-0.12194527,0.09004303
71230.234,27215.545,6.2526975,85.78045,1522.2985,1.2361308,0.07289187
71230.234,27216.068,7.171956,86.99453,1360.6848,1.7536505,0.08244146
71230.234,27216.545,5.7466555,53.56723,688.9418,8.8676605,0.10727931
71230.234,27217.068,6.917834,60.707603,724.4532,-0.01210902,0.11395334
71230.234,27217.545,9.523178,78.40673,847.8877,-0.52589655,0.12145868
71230.234,27218.068,9.761659,78.48939,829.0915,-0.3323611,0.12436915
71230.234,27218.545,4.405898,43.632755,609.5255,-0.07505466,0.10097685
71230.234,27219.068,11.45243,123.84786,1614.8594,-0.1814668,0.09247176
71230.234,27219.545,6.3087177,78.96375,1294.4598,6.8166494,0.07989384
71230.234,27220.068,6.3220115,54.631416,650.51,9.215907,0.11572117
71230.234,27220.545,6.808052,70.64724,975.6291,0.42989329,0.09636685
71230.234,27221.068,8.971969,75.60876,841.2031,-0.3896559,0.11866309
71230.234,27221.545,8.975233,75.50371,838.7552,-0.7490641,0.11887142
71230.234,27222.068,9.583921,73.752304,753.1897,-0.5431936,0.12994742
71230.234,27222.545,2.5744648,33.896446,647.2802,0.3636705,0.075950876
71230.234,27223.068,9.819421,117.117256,1704.4,-0.119021185,0.08384265
71230.234,27223.545,4.8963947,46.98128,631.05164,8.346476,0.10422012
71230.234,27224.068,7.0232644,67.8037,876.4261,0.3350289,0.103582315
71230.234,27224.545,8.902507,74.83703,831.83875,-0.29955608,0.118958585
71230.234,27225.07,9.669739,78.38095,834.72845,-0.4549559,0.12336848
71230.234,27225.545,4.337629,43.229828,608.3038,-0.057882242,0.100338794
71230.234,27226.07,12.6356735,131.06644,1618.824,0.29030648,0.09640663
71230.234,27226.545,14.321235,200.56985,2977.514,0.24293926,0.07140273
71230.234,27227.07,6.9651856,66.06184,841.98566,11.855146,0.105434336
71229.71,27227.07,1.2761303,21.72586,397.67715,2.0821385,0.058737848
71229.71,27226.545,11.779985,100.424416,992.2119,-0.21315534,0.11730201
71229.71,27226.07,9.024824,100.00309,1286.7891,-0.08610856,0.090245456
71229.71,27225.545,7.026813,79.5994,1072.6194,3.120276,0.088277206
71229.71,27225.07,8.993344,79.52374,836.8261,-0.033476803,0.11309005
71229.71,27224.545,7.086238,64.80072,715.82385,-0.29783952,0.10935431
71229.71,27224.068,3.2946334,29.218573,308.08234,10.238294,0.11275819
71229.71,27223.545,4.6044664,67.28089,1166.8998,-0.12303246,0.068436466
71229.71,27223.068,8.549252,90.47519,1125.9745,0.7824961,0.09449277
71229.71,27222.545,8.068655,93.383644,1264.5803,0.73158455,0.0864033
71229.71,27222.068,8.239643,72.33875,761.3489,-0.22274342,0.11390358
71229.71,27221.545,10.761504,83.81925,769.854,-0.55801827,0.1283894
71229.71,27221.068,1.3806328,16.182373,204.5943,1.2964067,0.085317075
71229.71,27220.545,5.0592256,65.55148,1017.802,-0.15706068,0.077179424
71229.71,27220.068,10.954823,101.902176,1098.2555,-0.18903363,0.107503325
71229.71,27219.545,7.6484356,92.59763,1311.3616,3.1014092,0.082598604
71229.71,27219.068,8.487888,84.67729,1000.67334,-0.10688781,0.10023807
