indent,x_um,y_um,depth_nm,H_GPa,E_GPa,load_mN
0,70676.691,25462.23,6.79,2.1634,83.854,0.01227
0,70676.691,25462.23,8.58,3.1819,105.559,0.01951
0,70676.691,25462.23,10.37,3.9048,90.398,0.02607
0,70676.691,25462.23,12.16,4.6285,79.992,0.03362
0,70676.691,25462.23,13.95,5.2533,75.976,0.0421
0,70676.691,25462.23,15.74,5.7373,72.391,0.05081
0,70676.691,25462.23,17.53,6.1651,71.709,0.06099
0,70676.691,25462.23,19.32,6.5468,69.958,0.07157
0,70676.691,25462.23,21.11,6.7911,72.125,0.08436
0,70676.691,25462.23,22.9,6.9867,73.678,0.09793
0,70676.691,25462.23,24.69,7.1818,74.588,0.11239
0,70676.691,25462.23,26.48,7.3977,76.325,0.12896
0,70676.691,25462.23,28.27,7.5546,77.743,0.14617
0,70676.691,25462.23,30.06,7.7198,79.187,0.16482
0,70676.691,25462.23,31.85,7.7743,80.163,0.18309
0,70676.691,25462.23,33.64,7.917,81.876,0.20443
0,70676.691,25462.23,35.43,8.0437,83.41,0.22676
0,70676.691,25462.23,37.21,8.1297,84.533,0.24931
0,70676.691,25462.23,39.0,8.1734,85.287,0.27185
0,70676.691,25462.23,40.79,8.3383,86.253,0.29795
0,70676.691,25462.23,42.58,8.487,86.553,0.324
0,70676.691,25462.23,44.37,8.6337,86.84,0.35121
0,70676.691,25462.23,46.16,8.7389,87.492,0.37956
0,70676.691,25462.23,47.95,8.809,88.405,0.40899
0,70676.691,25462.23,49.74,8.8953,89.331,0.44009
0,70676.691,25462.23,51.53,8.9204,89.548,0.46921
0,70676.691,25462.23,53.32,8.9738,89.727,0.49994
0,70676.691,25462.23,55.11,9.083,90.306,0.53442
0,70676.691,25462.23,56.9,9.1607,91.061,0.56983
0,70676.691,25462.23,58.69,9.1463,91.551,0.6028
0,70676.691,25462.23,60.48,9.2298,92.925,0.64291
0,70676.691,25462.23,62.27,9.215,93.677,0.67895
0,70676.691,25462.23,64.06,9.2403,94.638,0.71824
0,70676.691,25462.23,65.85,9.273,95.47,0.75858
0,70676.691,25462.23,67.64,9.3254,96.28,0.80098
0,70676.691,25462.23,69.43,9.3815,96.965,0.84434
0,70676.691,25462.23,71.22,9.4203,97.515,0.88769
0,70676.691,25462.23,73.01,9.4745,98.166,0.93345
0,70676.691,25462.23,74.8,9.5119,98.79,0.97955
0,70676.691,25462.23,76.59,9.5418,99.463,1.02677
0,70676.691,25462.23,78.38,9.5588,99.977,1.07375
0,70676.691,25462.23,80.17,9.5764,100.543,1.12217
0,70676.691,25462.23,81.96,9.6437,101.484,1.1768
0,70676.691,25462.23,83.75,9.6604,102.192,1.2285
0,70676.691,25462.23,85.54,9.6815,102.945,1.28198
0,70676.691,25462.23,87.33,9.6981,103.689,1.33638
0,70676.691,25462.23,89.12,9.7487,104.63,1.39575
0,70676.691,25462.23,90.91,9.7609,105.191,1.45141
0,70676.691,25462.23,92.7,9.7756,105.691,1.50808
