indent,x_um,y_um,depth_nm,H_GPa,E_GPa,load_mN
0,68618.243,26709.481,13.91,0.5558,97.356,0.00737
0,68618.243,26709.481,15.7,0.8542,89.343,0.01293
0,68618.243,26709.481,17.48,1.0789,86.083,0.01853
0,68618.243,26709.481,19.26,1.3158,75.02,0.02504
0,68618.243,26709.481,21.05,1.4441,67.822,0.03044
0,68618.243,26709.481,22.83,1.5566,66.355,0.03642
0,68618.243,26709.481,24.61,1.6895,66.87,0.04367
0,68618.243,26709.481,26.4,1.7649,65.93,0.05021
0,68618.243,26709.481,28.18,1.8621,64.542,0.05779
0,68618.243,26709.481,29.96,1.8604,62.799,0.0632
0,68618.243,26709.481,31.74,1.8729,62.36,0.06949
0,68618.243,26709.481,33.53,1.8963,61.745,0.07642
0,68618.243,26709.481,35.31,1.8789,61.125,0.08227
0,68618.243,26709.481,37.09,1.8869,61.965,0.08962
0,68618.243,26709.481,38.88,1.8783,62.328,0.09649
0,68618.243,26709.481,40.66,1.867,62.662,0.10347
0,68618.243,26709.481,42.44,1.8764,63.356,0.11176
0,68618.243,26709.481,44.23,1.8561,63.693,0.11875
0,68618.243,26709.481,46.01,1.9165,67.014,0.1314
0,68618.243,26709.481,47.79,1.8915,68.003,0.13893
0,68618.243,26709.481,49.57,1.8807,69.006,0.14749
0,68618.243,26709.481,51.36,1.8533,69.251,0.15484
0,68618.243,26709.481,53.14,1.8298,69.252,0.16241
0,68618.243,26709.481,54.92,1.7996,69.537,0.16964
0,68618.243,26709.481,56.71,1.791,70.178,0.17878
0,68618.243,26709.481,58.49,1.7491,69.613,0.1847
0,68618.243,26709.481,60.27,1.7439,69.611,0.19413
0,68618.243,26709.481,62.06,1.7237,69.27,0.20212
0,68618.243,26709.481,63.84,1.6995,68.621,0.20957
0,68618.243,26709.481,65.62,1.6686,68.048,0.2163
0,68618.243,26709.481,67.4,1.6595,68.171,0.22578
0,68618.243,26709.481,69.19,1.6608,68.906,0.23693
0,68618.243,26709.481,70.97,1.6435,69.132,0.24577
0,68618.243,26709.481,72.75,1.6218,69.348,0.25403
0,68618.243,26709.481,74.54,1.6,69.471,0.26221
0,68618.243,26709.481,76.32,1.6006,70.232,0.27396
0,68618.243,26709.481,78.1,1.5622,69.63,0.27926
