indent,x_um,y_um,depth_nm,H_GPa,E_GPa
0,68618.243,26711.481,11.92,1.2191,84.0276
0,68618.243,26711.481,14.23,1.1916,90.0012
0,68618.243,26711.481,16.54,1.3095,83.6427
0,68618.243,26711.481,18.85,1.3649,83.389
0,68618.243,26711.481,21.16,1.4203,83.1353
0,68618.243,26711.481,23.47,1.4757,82.8816
0,68618.243,26711.481,25.77,1.5311,82.6279
0,68618.243,26711.481,28.08,1.5865,82.3742
0,68618.243,26711.481,30.39,1.6419,82.1205
0,68618.243,26711.481,32.7,1.6972,81.8667
0,68618.243,26711.481,35.01,1.7526,81.613
0,68618.243,26711.481,37.31,1.808,81.3593
0,68618.243,26711.481,39.62,1.8634,81.1056
0,68618.243,26711.481,41.93,1.9188,80.8519
0,68618.243,26711.481,44.24,1.9742,80.5982
0,68618.243,26711.481,46.55,2.0296,80.3445
0,68618.243,26711.481,48.86,2.0885,80.9222
0,68618.243,26711.481,51.16,2.1687,85.5772
0,68618.243,26711.481,53.47,2.2022,87.173
0,68618.243,26711.481,55.78,2.2773,90.5667
0,68618.243,26711.481,58.09,2.351,97.0352
0,68618.243,26711.481,60.4,2.4248,100.0455
0,68618.243,26711.481,62.7,2.5449,99.0311
0,68618.243,26711.481,65.01,2.5754,98.1783
0,68618.243,26711.481,67.32,2.5981,99.2932
0,68618.243,26711.481,69.63,2.6332,101.0329
0,68618.243,26711.481,71.94,2.646,101.8977
0,68618.243,26711.481,74.25,2.6503,102.9225
0,68618.243,26711.481,76.55,2.6713,104.0372
0,68618.243,26711.481,78.86,2.693,105.2091
0,68618.243,26711.481,81.17,2.7429,107.0073
0,68618.243,26711.481,83.48,2.7758,109.8608
0,68618.243,26711.481,85.79,2.8278,115.0706
0,68618.243,26711.481,88.09,2.9085,121.9884
0,68618.243,26711.481,90.4,2.9664,126.6158
0,68618.243,26711.481,92.71,3.0528,130.3315
0,68618.243,26711.481,95.02,3.0889,131.3907
0,68618.243,26711.481,97.33,3.1211,132.4916
0,68618.243,26711.481,99.64,3.1949,134.3794
0,68618.243,26711.481,101.94,3.2277,133.6115
1,68585.239,26727.483,5.0,4.2278,125.9027
1,68585.239,26727.483,7.31,2.7545,142.4335
1,68585.239,26727.483,9.62,2.6062,124.879
1,68585.239,26727.483,11.92,2.3188,102.0678
1,68585.239,26727.483,14.23,2.1107,85.9177
1,68585.239,26727.483,16.54,2.1602,82.5817
1,68585.239,26727.483,18.85,2.1645,82.3904
1,68585.239,26727.483,21.16,2.1687,82.1991
1,68585.239,26727.483,23.47,2.1729,82.0078
1,68585.239,26727.483,25.77,2.1772,81.8166
1,68585.239,26727.483,28.08,2.1814,81.6253
1,68585.239,26727.483,30.39,2.1857,81.434
1,68585.239,26727.483,32.7,2.1899,81.2427
1,68585.239,26727.483,35.01,2.1941,81.0515
1,68585.239,26727.483,37.31,2.1984,80.8602
1,68585.239,26727.483,39.62,2.2026,80.6689
1,68585.239,26727.483,41.93,2.2069,80.4776
1,68585.239,26727.483,44.24,2.1969,80.4408
1,68585.239,26727.483,46.55,2.1989,80.6241
1,68585.239,26727.483,48.86,2.1803,81.0925
1,68585.239,26727.483,51.16,2.2061,82.1739
1,68585.239,26727.483,53.47,2.2018,81.1486
1,68585.239,26727.483,55.78,2.182,80.9812
1,68585.239,26727.483,58.09,2.1754,81.9911
1,68585.239,26727.483,60.4,2.1588,84.2276
1,68585.239,26727.483,62.7,2.1468,85.816
1,68585.239,26727.483,65.01,2.153,87.5165
1,68585.239,26727.483,67.32,2.1316,86.8768
1,68585.239,26727.483,69.63,2.1217,85.7692
1,68585.239,26727.483,71.94,2.1081,84.4096
1,68585.239,26727.483,74.25,2.1308,83.5703
1,68585.239,26727.483,76.55,2.1144,83.2759
1,68585.239,26727.483,78.86,2.1283,84.4732
1,68585.239,26727.483,81.17,2.1209,85.4552
1,68585.239,26727.483,83.48,2.1284,86.8129
1,68585.239,26727.483,85.79,2.114,86.7565
1,68585.239,26727.483,88.09,2.1082,86.5975
1,68585.239,26727.483,90.4,2.1117,86.5674
1,68585.239,26727.483,92.71,2.0981,86.2998
1,68585.239,26727.483,95.02,2.1064,86.9363
1,68585.239,26727.483,97.33,2.096,87.1852
1,68585.239,26727.483,99.64,2.1187,87.7686
1,68585.239,26727.483,101.94,2.0542,85.2984
2,68585.239,26729.484,9.62,2.4186,99.3691
2,68585.239,26729.484,11.92,2.4433,91.4936
2,68585.239,26729.484,14.23,2.5128,80.648
2,68585.239,26729.484,16.54,2.4982,80.6287
2,68585.239,26729.484,18.85,2.4837,80.6095
2,68585.239,26729.484,21.16,2.4691,80.5902
2,68585.239,26729.484,23.47,2.4545,80.5709
2,68585.239,26729.484,25.77,2.4399,80.5516
2,68585.239,26729.484,28.08,2.4254,80.5323
2,68585.239,26729.484,30.39,2.4108,80.513
2,68585.239,26729.484,32.7,2.3962,80.4938
2,68585.239,26729.484,35.01,2.3816,80.4745
2,68585.239,26729.484,37.31,2.3671,80.4552
2,68585.239,26729.484,39.62,2.3525,80.4359
2,68585.239,26729.484,41.93,2.3379,80.4166
2,68585.239,26729.484,44.24,2.3233,80.3974
2,68585.239,26729.484,46.55,2.3088,80.3781
2,68585.239,26729.484,48.86,2.2942,80.3588
2,68585.239,26729.484,51.16,2.2796,80.3395
2,68585.239,26729.484,53.47,2.265,80.3202
2,68585.239,26729.484,55.78,2.2505,80.3009
2,68585.239,26729.484,58.09,2.2359,80.2817
2,68585.239,26729.484,60.4,2.2541,81.4156
