indent,x_um,y_um,depth_nm,H_GPa,E_GPa
0,34955.988,24976.503,5.0,5.2139,347.6211
0,34955.988,24976.503,6.36,6.311,274.9644
0,34955.988,24976.503,7.73,7.616,222.3697
0,34955.988,24976.503,9.09,8.6459,199.8324
0,34955.988,24976.503,10.46,9.5914,188.9722
0,34955.988,24976.503,11.82,10.08,182.2107
0,34955.988,24976.503,13.19,10.2466,179.2084
0,34955.988,24976.503,14.55,10.5936,173.7919
0,34955.988,24976.503,15.91,10.9812,172.316
0,34955.988,24976.503,17.28,11.2996,177.2112
0,34955.988,24976.503,18.64,11.6679,183.8736
0,34955.988,24976.503,20.01,11.8735,187.4572
0,34955.988,24976.503,21.37,12.2837,191.9535
0,34955.988,24976.503,22.74,12.5335,196.9802
0,34955.988,24976.503,24.1,12.8343,201.8715
0,34955.988,24976.503,25.46,13.0261,202.15
0,34955.988,24976.503,26.83,13.3335,201.4766
0,34955.988,24976.503,28.19,13.5369,201.6986
0,34955.988,24976.503,29.56,13.7661,203.9816
0,34955.988,24976.503,30.92,14.0198,205.5126
0,34955.988,24976.503,32.28,14.1723,204.6072
0,34955.988,24976.503,33.65,14.3873,204.3773
0,34955.988,24976.503,35.01,14.5151,204.5911
0,34955.988,24976.503,36.38,14.771,205.97
0,34955.988,24976.503,37.74,14.8626,205.3931
0,34955.988,24976.503,39.11,15.1314,205.7803
0,34955.988,24976.503,40.47,15.2255,205.3033
0,34955.988,24976.503,41.83,15.4103,206.138
0,34955.988,24976.503,43.2,15.5194,207.05
0,34955.988,24976.503,44.56,15.6096,208.0415
0,34955.988,24976.503,45.93,15.733,209.5715
0,34955.988,24976.503,47.29,15.7653,210.8209
0,34955.988,24976.503,48.66,15.8522,212.1958
0,34955.988,24976.503,50.02,15.8943,212.6651
0,34955.988,24976.503,51.38,15.8562,211.9267
0,34955.988,24976.503,52.75,15.95,211.3941
0,34955.988,24976.503,54.11,15.9799,210.0981
0,34955.988,24976.503,55.48,16.0535,208.9928
0,34955.988,24976.503,56.84,16.063,207.2871
0,34955.988,24976.503,58.21,16.0873,205.6717
0,34955.988,24976.503,59.57,16.0629,204.0778
0,34955.988,24976.503,60.93,16.0038,202.5074
0,34955.988,24976.503,62.3,15.6515,197.0423
0,34955.988,24976.503,63.66,15.7842,178.2505
1,34930.794,24976.503,5.0,4.8214,425.6886
1,34930.794,24976.503,6.36,6.1959,339.6845
1,34930.794,24976.503,7.73,7.0826,249.1489
1,34930.794,24976.503,9.09,8.3408,218.1425
1,34930.794,24976.503,10.46,9.2467,212.6616
1,34930.794,24976.503,11.82,9.9261,209.154
1,34930.794,24976.503,13.19,10.3515,212.6437
1,34930.794,24976.503,14.55,11.0937,214.098
1,34930.794,24976.503,15.91,11.4049,215.6616
1,34930.794,24976.503,17.28,11.8647,213.8226
1,34930.794,24976.503,18.64,12.2136,210.4109
1,34930.794,24976.503,20.01,12.5335,212.5995
1,34930.794,24976.503,21.37,12.6446,213.4466
1,34930.794,24976.503,22.74,12.868,212.7214
1,34930.794,24976.503,24.1,13.1189,210.4005
1,34930.794,24976.503,25.46,13.4164,207.1203
1,34930.794,24976.503,26.83,13.7398,204.5511
1,34930.794,24976.503,28.19,14.091,204.2349
1,34930.794,24976.503,29.56,14.3463,204.692
1,34930.794,24976.503,30.92,14.3763,203.8713
1,34930.794,24976.503,32.28,14.6396,205.7462
1,34930.794,24976.503,33.65,14.7781,206.4594
1,34930.794,24976.503,35.01,14.9158,206.7247
1,34930.794,24976.503,36.38,14.9458,206.0682
1,34930.794,24976.503,37.74,15.2157,207.5046
1,34930.794,24976.503,39.11,15.3756,207.8385
1,34930.794,24976.503,40.47,15.4294,207.2068
1,34930.794,24976.503,41.83,15.5524,206.4427
1,34930.794,24976.503,43.2,15.6892,205.3931
1,34930.794,24976.503,44.56,15.886,204.3416
1,34930.794,24976.503,45.93,15.8811,202.5367
1,34930.794,24976.503,47.29,15.9472,201.0819
1,34930.794,24976.503,48.66,15.8962,199.4031
1,34930.794,24976.503,50.02,15.87,198.3493
1,34930.794,24976.503,51.38,15.7842,197.2513
1,34930.794,24976.503,52.75,15.8017,197.0929
1,34930.794,24976.503,54.11,15.7211,196.3631
1,34930.794,24976.503,55.48,15.7372,196.2521
1,34930.794,24976.503,56.84,15.72,195.9533
1,34930.794,24976.503,58.21,15.6823,195.3102
1,34930.794,24976.503,59.57,15.7535,195.5932
1,34930.794,24976.503,60.93,15.6541,194.8091
1,34930.794,24976.503,62.3,15.3182,190.1437
1,34930.794,24976.503,63.66,15.1752,175.9584
2,34916.364,24976.503,5.0,2.8874,104.0332
2,34916.364,24976.503,6.36,3.1526,146.4142
2,34916.364,24976.503,7.73,3.4065,164.8573
2,34916.364,24976.503,9.09,3.8326,153.4106
2,34916.364,24976.503,10.46,4.2003,141.341
2,34916.364,24976.503,11.82,4.6025,142.4693
2,34916.364,24976.503,13.19,4.971,142.5829
2,34916.364,24976.503,14.55,5.497,146.4502
2,34916.364,24976.503,15.91,6.0426,149.3902
2,34916.364,24976.503,17.28,6.716,162.3532
2,34916.364,24976.503,18.64,7.2074,164.1726
2,34916.364,24976.503,20.01,7.7912,166.3895
2,34916.364,24976.503,21.37,8.1749,167.9041
2,34916.364,24976.503,22.74,8.6499,170.6494
2,34916.364,24976.503,24.1,9.1561,173.6427
2,34916.364,24976.503,25.46,9.616,175.3367
2,34916.364,24976.503,26.83,10.0541,175.6111
2,34916.364,24976.503,28.19,10.3795,176.6324
2,34916.364,24976.503,29.56,10.7685,179.2093
2,34916.364,24976.503,30.92,11.1821,182.7419
2,34916.364,24976.503,32.28,11.4313,183.451
2,34916.364,24976.503,33.65,11.7316,183.7987
2,34916.364,24976.503,35.01,12.0294,185.3536
2,34916.364,24976.503,36.38,12.2656,186.8775
