indent,depth_nm,H_GPa,E_GPa,Hf_true_GPa,Hs_true_GPa
0,10.0,21.9711,375.39,23.126,7.486
0,20.0,20.815,368.36,23.126,7.486
0,30.0,19.3588,337.17,23.126,7.486
0,40.0,16.4173,306.77,23.126,7.486
0,50.0,14.6224,300.53,23.126,7.486
0,60.0,13.7826,275.3,23.126,7.486
0,70.0,12.6192,249.54,23.126,7.486
0,80.0,11.6364,246.25,23.126,7.486
0,90.0,10.4469,240.69,23.126,7.486
0,100.0,10.3671,229.33,23.126,7.486
0,110.0,10.3062,229.16,23.126,7.486
0,120.0,8.9454,220.31,23.126,7.486
0,130.0,9.1107,221.17,23.126,7.486
0,140.0,8.1601,222.87,23.126,7.486
0,150.0,8.2758,207.76,23.126,7.486
0,160.0,7.8401,211.0,23.126,7.486
0,170.0,8.5085,205.28,23.126,7.486
0,180.0,7.8772,207.35,23.126,7.486
0,190.0,8.5478,198.21,23.126,7.486
0,200.0,8.4051,200.76,23.126,7.486
0,210.0,8.1589,202.11,23.126,7.486
0,220.0,6.929,207.85,23.126,7.486
0,230.0,7.8608,208.6,23.126,7.486
0,240.0,8.0553,193.14,23.126,7.486
0,250.0,8.0913,195.74,23.126,7.486
0,260.0,7.2296,203.88,23.126,7.486
0,270.0,7.7199,187.59,23.126,7.486
0,280.0,7.4373,196.35,23.126,7.486
0,290.0,7.4931,198.18,23.126,7.486
0,300.0,8.4016,205.97,23.126,7.486
0,310.0,7.4435,202.26,23.126,7.486
0,320.0,7.8093,195.88,23.126,7.486
0,330.0,8.2479,195.38,23.126,7.486
0,340.0,7.4957,195.86,23.126,7.486
0,350.0,7.715,206.29,23.126,7.486
0,360.0,7.8108,194.38,23.126,7.486
0,370.0,7.7733,194.95,23.126,7.486
0,380.0,7.1158,198.72,23.126,7.486
0,390.0,7.7543,195.73,23.126,7.486
0,400.0,8.3845,195.12,23.126,7.486
1,10.0,21.9992,340.75,22.406,4.881
1,20.0,21.2612,340.91,22.406,4.881
1,30.0,19.2258,323.48,22.406,4.881
1,40.0,18.2112,298.35,22.406,4.881
1,50.0,15.9976,300.17,22.406,4.881
1,60.0,14.7515,287.71,22.406,4.881
1,70.0,12.4666,266.75,22.406,4.881
1,80.0,12.1358,255.33,22.406,4.881
1,90.0,10.1507,247.46,22.406,4.881
1,100.0,9.1671,235.41,22.406,4.881
1,110.0,9.3551,241.86,22.406,4.881
1,120.0,8.4896,226.99,22.406,4.881
1,130.0,8.5439,225.72,22.406,4.881
1,140.0,9.1804,217.7,22.406,4.881
1,150.0,7.299,215.66,22.406,4.881
1,160.0,7.1095,209.16,22.406,4.881
1,170.0,7.272,222.14,22.406,4.881
1,180.0,7.1978,211.75,22.406,4.881
1,190.0,6.6737,216.79,22.406,4.881
1,200.0,6.4936,209.61,22.406,4.881
1,210.0,6.8026,204.08,22.406,4.881
1,220.0,6.5833,205.16,22.406,4.881
1,230.0,5.6932,202.75,22.406,4.881
1,240.0,6.0696,205.27,22.406,4.881
1,250.0,6.0368,202.18,22.406,4.881
1,260.0,5.4113,201.92,22.406,4.881
1,270.0,5.9959,194.8,22.406,4.881
1,280.0,5.3716,197.65,22.406,4.881
1,290.0,6.2273,211.9,22.406,4.881
1,300.0,5.7839,197.47,22.406,4.881
1,310.0,5.6832,194.74,22.406,4.881
1,320.0,5.2984,202.69,22.406,4.881
1,330.0,5.4937,208.75,22.406,4.881
1,340.0,4.5166,191.25,22.406,4.881
1,350.0,4.9153,198.42,22.406,4.881
1,360.0,5.6306,195.6,22.406,4.881
1,370.0,4.3556,188.56,22.406,4.881
1,380.0,5.816,203.3,22.406,4.881
1,390.0,4.4945,198.53,22.406,4.881
1,400.0,5.7225,198.89,22.406,4.881
2,10.0,15.6768,339.95,17.391,3.309
2,20.0,14.4787,316.5,17.391,3.309
2,30.0,11.025,295.99,17.391,3.309
2,40.0,9.413,272.95,17.391,3.309
2,50.0,7.7906,256.22,17.391,3.309
2,60.0,6.5504,255.21,17.391,3.309
2,70.0,5.776,243.88,17.391,3.309
2,80.0,5.8062,235.12,17.391,3.309
2,90.0,4.9402,244.51,17.391,3.309
2,100.0,4.7125,238.45,17.391,3.309
2,110.0,4.5653,239.2,17.391,3.309
2,120.0,4.9586,229.21,17.391,3.309
2,130.0,4.5638,229.91,17.391,3.309
2,140.0,4.2961,226.83,17.391,3.309
2,150.0,3.7255,226.65,17.391,3.309
2,160.0,3.2355,232.43,17.391,3.309
2,170.0,4.3335,225.96,17.391,3.309
2,180.0,4.2847,232.3,17.391,3.309
2,190.0,3.6823,231.77,17.391,3.309
2,200.0,3.9816,241.51,17.391,3.309
2,210.0,4.065,220.69,17.391,3.309
2,220.0,4.0582,234.09,17.391,3.309
2,230.0,4.0756,227.99,17.391,3.309
2,240.0,3.3627,228.22,17.391,3.309
2,250.0,4.3263,219.42,17.391,3.309
2,260.0,2.9263,225.19,17.391,3.309
2,270.0,3.9633,232.26,17.391,3.309
2,280.0,3.7639,227.17,17.391,3.309
